include,source,resourceName,pubSubDocument,publish_type_SOAP_EM_OHI,namespace,subscriberPortName,mapper,messageVariant,extraFilter,addResourcesAndQueryParams,storeToESER,end
n,umg.r2,talentname,ohi_umg.r2_talentname_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_talentname_1_detail/19570825,umg_digs_r2_subscriber,n/a,pubsubwrapped,,n,y,end
n,umg.r2,translation,ohi_umg.r2_translation_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_translation_1_detail/19570825,umg_digs_r2_subscriber,n/a,pubsubwrapped,p.R2TranlationCountryId == "jp" && p.R2TranlationLanguageNoÂ ==11,n,y,end
n,umg.r2,translationentity,ohi_umg.r2_translationentity_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_translationentity_1_detail/19570825,umg_digs_r2_subscriber,n/a,pubsubwrapped,,n,y,end
n,umg.r2,jpreleaselan,ohi_umg.r2_jpreleaselan_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_jpreleaselan_1_detail/19570825,umg_digs_r2_subscriber,n/a,pubsubwrapped,,n,y,end
y,studiohub,dealproductroyaltyprovisionsmessage,n/a,EM,,umg_globalroyalties_subscriber_dev,n/a,raw,,y,n,end
y,studiohub,dealcontractuallanguagemessage,n/a,EM,,umg_globalroyalties_subscriber,n/a,raw,,y,n,end
y,umg.atlas,artistrosterproject,ohi_umg.atlas_artistrosterproject_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.atlas_artistrosterproject_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.atlas,entitylabel,ohi_umg.atlas_entitylabel_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.atlas_entitylabel_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
d,umg.blue,product,ohi_umg.blue_product_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.blue_product_1_detail/19570825,umg_digs_blue_subscriber,n/a,pubsubwrapped,,n,d,end
y,umg.blue,resourcedurationupdatenotification,ohi_umg.blue_resourcedurationupdatenotification_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.blue_resourcedurationupdatenotification_1_detail/19570825,umg_r2_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.blue,japancompanynotification,ohi_umg.blue_japancompanynotification_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.blue_japancompanynotification_1_detail/19570825,umg_r2_subscriber,n/a,pubsubwrapped,,n,y,end
d,umg.blue,product,ohi_umg.blue_product_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.blue_product_1_detail/19570825,umg_digs_blue_subscriber_qa,n/a,pubsubwrapped,,n,d,end
y,umg.cla,cartupdatenotification,n/a,SOAP,,umg_d2_subscriber,n/a,raw,,n,y,end
y,umg.cla,workcertifiednotification,n/a,SOAP,,umg_r2_cla_subscriber,n/a,raw,,n,y,end
y,umg.cla,talentnamechangenotification,n/a,SOAP,,umg_r2_cla_subscriber,n/a,raw,,n,y,end
y,umg.cla,publishernamechangenotification,n/a,SOAP,,umg_r2_cla_subscriber,n/a,raw,,n,y,end
y,umg.contraxx,grscontractrightsload,n/a,SOAP,,umg_grcs_subscriber,n/a,raw,,n,y,end
y,umg.cprs,billofmaterials,ohi_umg.cprs_billofmaterials_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_billofmaterials_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
D,umg.cprs,billofmaterials,ohi_umg.cprs_billofmaterials_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_billofmaterials_1_detail/19570825,umg_edc_bom_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,billofmaterials,ohi_umg.cprs_billofmaterials_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_billofmaterials_1_detail/19570825,umg_sony_dadc_manufacturing,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,billofmaterials,ohi_umg.cprs_billofmaterials_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_billofmaterials_1_detail/19570825,umg_jda_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,billofmaterials,ohi_umg.cprs_billofmaterials_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_billofmaterials_1_detail/19570825,umg_ods_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,billofmaterials,ohi_umg.cprs_billofmaterials_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_billofmaterials_1_detail/19570825,umg_berlin_cprs_bom_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,billofmaterials,ohi_umg.cprs_billofmaterials_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_billofmaterials_1_detail/19570825,umg_uk_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,billofmaterials,ohi_umg.cprs_billofmaterials_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_billofmaterials_1_detail/19570825,umg_sap_cprs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,billofmaterials,ohi_umg.cprs_billofmaterials_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_billofmaterials_1_detail/19570825,umg_sony_dadc_distribution,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,physicalreleaseschedule,ohi_umg.cprs_physicalreleaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_physicalreleaseschedule_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
D,umg.cprs,physicalreleaseschedule,ohi_umg.cprs_physicalreleaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_physicalreleaseschedule_1_detail/19570825,umg_edc_prs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,physicalreleaseschedule,ohi_umg.cprs_physicalreleaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_physicalreleaseschedule_1_detail/19570825,umg_grcs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,physicalreleaseschedule,ohi_umg.cprs_physicalreleaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_physicalreleaseschedule_1_detail/19570825,umg_ods_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,physicalreleaseschedule,ohi_umg.cprs_physicalreleaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_physicalreleaseschedule_1_detail/19570825,umg_rdx_cprs_prs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,physicalreleaseschedule,ohi_umg.cprs_physicalreleaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_physicalreleaseschedule_1_detail/19570825,umg_sony_dadc_manufacturing,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,physicalreleaseschedule,ohi_umg.cprs_physicalreleaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_physicalreleaseschedule_1_detail/19570825,umg_australia_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,physicalreleaseschedulev3,ohi_umg.cprs_physicalreleaseschedulev3_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_physicalreleaseschedulev3_1_detail/19570825,umg_berlin_cprs_prs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,physicalreleaseschedule,ohi_umg.cprs_physicalreleaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_physicalreleaseschedule_1_detail/19570825,umg_uk_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,physicalreleaseschedulev3,ohi_umg.cprs_physicalreleaseschedulev3_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_physicalreleaseschedulev3_1_detail/19570825,umg_jda_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,physicalreleaseschedulev3,ohi_umg.cprs_physicalreleaseschedulev3_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_physicalreleaseschedulev3_1_detail/19570825,umg_sony_dadc_distribution,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,physicalreleaseschedulev3,ohi_umg.cprs_physicalreleaseschedulev3_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_physicalreleaseschedulev3_1_detail/19570825,umg_sap_cprs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,territorialrights,ohi_umg.cprs_territorialrights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_territorialrights_1_detail/19570825,umg_ods_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,territorialrights,ohi_umg.cprs_territorialrights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_territorialrights_1_detail/19570825,umg_jda_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,territorialrights,ohi_umg.cprs_territorialrights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_territorialrights_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,territorialrights,ohi_umg.cprs_territorialrights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_territorialrights_1_detail/19570825,umg_rdx_cprs_tr_subscriber,n/a,pubsubwrapped,,n,y,end
D,umg.cprs,territorialrights,ohi_umg.cprs_territorialrights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_territorialrights_1_detail/19570825,umg_edc_tr_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,nationalreleaseschedule,ohi_umg.cprs_nationalreleaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_nationalreleaseschedule_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,physicaltrackedparts,ohi_umg.cprs_physicaltrackedparts_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_physicaltrackedparts_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,partstracking,ohi_umg.cprs_partstracking_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_partstracking_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.cprs,workflow,ohi_umg.cprs_workflow_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.cprs_workflow_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dav,marketingtermspartnerproductupdatenotification,n/a,SOAP,,umg_gdrs_subscriber,n/a,raw,,n,y,end
y,umg.dav,marketingtermspartnerproductupdatenotification,n/a,SOAP,,umg_centralcatalogue_marketing_subscriber,n/a,raw,,n,y,end
y,umg.dav,marketingtermspartnerproductupdatenotification,n/a,SOAP,,umg_digs_mktgpartner_subscriber,n/a,raw,,n,y,end
y,umg.dav,marketingtermsproductupdatenotification,n/a,SOAP,,umg_gdrs_subscriber,n/a,raw,,n,y,end
y,umg.dav,marketingtermsproductupdatenotification,n/a,SOAP,,umg_digs_mktgproduct_subscriber,n/a,raw,,n,y,end
y,umg.dav,marketingtermspartnerproductupdatenotification,n/a,SOAP,,umg_centralcatalogue_marketing_subscriber,n/a,raw,,n,y,end
y,umg.dav,marketingtermspartnerproductupdatenotification,n/a,SOAP,,umg_gdrs_subscriber,n/a,raw,,n,y,end
y,umg.dav,marketingtermsproductupdatenotification,n/a,SOAP,,umg_gdrs_subscriber,n/a,raw,,n,y,end
y,umg.dav,marketingtermsproductupdatenotification,n/a,SOAP,,umg_digs_mktgproduct_subscriber_qa,n/a,raw,,n,y,end
y,umg.dav,marketingtermspartnerproductupdatenotification,n/a,SOAP,,umg_digs_mktgpartner_subscriber_qa,n/a,raw,,n,y,end
y,sonydadc,releaseorderednotification,n/a,SOAP,,umg_r2_subscriber,n/a,raw,,n,y,end
y,sonydadc,releaseorderednotification,n/a,SOAP,,umg_gps_firstorder_subscriber,n/a,raw,,n,y,end
y,sonydadc,releaseorderednotification,n/a,SOAP,,umg_digs_relstatus_subscriber,releasestatusmapper_releaseordered2releasestatus,raw,,n,y,end
y,sonydadc,releaseorderednotification,n/a,SOAP,,umg_digs_relstatus_subscriber_qa,releasestatusmapper_releaseordered2releasestatus,raw,,n,y,end
y,umg.dsched,releaselegalrights,ohi_umg.dsched_releaselegalrights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaselegalrights_1_detail/19570825,umg_rdx_digs_rlr_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,umg_dsc_digs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,umg_aspen_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,umg_berlin_digs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,umg_rdx_digs_rs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,umg_uk_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,umg_cla_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,bitmax_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,umg_d2_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,umg_centralcatalogue_digs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,umg_catalyst_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,umg_australia_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,umg_grcs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,umg_mobileproxy_digs_subscriber,n/a,pubsubwrapped,p.DschedProductConfiguration == 133 || p.DschedProductConfiguration == 126 || p.DschedProductConfiguration == 159 || p.DschedProductConfiguration == 160 || p.DschedProductConfiguration == 161 || p.DschedProductConfiguration == 139 || p.DschedProductConfiguration == 145 || p.DschedProductConfiguration == 152 || p.DschedProductConfiguration == 127 || p.DschedProductConfiguration == 164,n,y,end
y,umg.dsched,releaseschedule,ohi_umg.dsched_releaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.dsched_releaseschedule_1_detail/19570825,umg_gps_digs_subscriber,n/a,pubsubwrapped,p.DschedProductConfiguration != 126 && p.DschedProductConfiguration != 127 && p.DschedProductConfiguration != 133 && p.DschedProductConfiguration != 135 && p.DschedProductConfiguration != 136 && p.DschedProductConfiguration != 137 && p.DschedProductConfiguration != 139 && p.DschedProductConfiguration != 145 && p.DschedProductConfiguration != 151 && p.DschedProductConfiguration != 152 && p.DschedProductConfiguration != 159 && p.DschedProductConfiguration != 160 && p.DschedProductConfiguration != 161 && p.DschedProductConfiguration != 164,n,y,end
y,umg.dsched,releaseschedule,n/a,OHI,,umg_eai_subscriber,n/a,emasis,,n,y,end
y,umg.dsched,releaseschedule,n/a,OHI,,umg_lpi_subscriber_demo,n/a,raw,,y,y,end
y,umg.fulfilment,digital_partner,ohi_umg.fulfilment_digital_partner_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.fulfilment_digital_partner_1_detail/19570825,umg_gps_digitalpartner_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.grcs,resourcerights,ohi_umg.grcs_resourcerights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.grcs_resourcerights_1_detail/19570825,umg_cla_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.grcs,resourcerights,ohi_umg.grcs_resourcerights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.grcs_resourcerights_1_detail/19570825,umg_d2_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.grcs,resourcerights,ohi_umg.grcs_resourcerights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.grcs_resourcerights_1_detail/19570825,umg_adam_subscriber,n/a,pubsubwrapped,,n,y,end
d,umg.grcs,resourcerights,ohi_umg.grcs_resourcerights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.grcs_resourcerights_1_detail/19570825,umg_grcs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.grcs,releaserights,ohi_umg.grcs_releaserights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.grcs_releaserights_1_detail/19570825,umg_cla_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.grcs,releaserights,ohi_umg.grcs_releaserights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.grcs_releaserights_1_detail/19570825,umg_digs_grs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.grcs,trackrights,ohi_umg.grcs_trackrights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.grcs_trackrights_1_detail/19570825,umg_d2_subscriber,n/a,pubsubwrapped,,n,y,end
d,umg.grcs,trackrights,ohi_umg.grcs_trackrights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.grcs_trackrights_1_detail/19570825,umg_grcs_subscriber,n/a,pubsubwrapped,,n,y,end
d,umg.grcs,artistrights,ohi_umg.grcs_artistrights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.grcs_artistrights_1_detail/19570825,umg_grcs_subscriber,n/a,pubsubwrapped,,n,y,end
d,umg.grcs,contractrights,ohi_umg.grcs_contractrights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.grcs_contractrights_1_detail/19570825,umg_grcs_subscriber,n/a,pubsubwrapped,,n,y,end
d,umg.grcs,projectrights,ohi_umg.grcs_projectrights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.grcs_projectrights_1_detail/19570825,umg_grcs_subscriber,n/a,pubsubwrapped,,n,y,end
d,umg.grcs,releaserights,n/a,OHI,,umg_lpi_subscriber,n/a,raw,,y,y,end
y,umg.grcs,resourcerights,n/a,OHI,,umg_lpi_subscriber,n/a,raw,,y,y,end
y,umg.grcs,trackrights,n/a,OHI,,umg_lpi_subscriber,n/a,raw,,y,y,end
d,umg.grcs,releaserights,n/a,OHI,,umg_lpi_subscriber_demo,n/a,raw,,y,y,end
y,umg.grcs,resourcerights,n/a,OHI,,umg_lpi_subscriber_demo,n/a,raw,,y,y,end
y,umg.grcs,trackrights,n/a,OHI,,umg_lpi_subscriber_demo,n/a,raw,,y,y,end
y,umg.grcs,releaserights,ohi_umg.grcs_releaserights_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.grcs_releaserights_1_detail/19570825,umg_digs_grs_subscriber_qa,n/a,pubsubwrapped,,n,y,end
y,umg.gta,financiallabel,n/a,OHI,,umg_eai_subscriber,gta_financiallabelmapper,emasis,,n,y,end
y,umg.gta,hfmrepertoireowner,n/a,OHI,,umg_eai_subscriber,repertoireownermapper,emasis,,n,y,end
y,umg.hal,resourceavailabilitynotification,n/a,SOAP,,umg_mobileproxy_resourceavailability_subscriber,resourceavailablenotificationmapper_v2tov3,raw,,n,y,end
y,umg.hal,resourceavailabilitynotification,n/a,SOAP,,umg_zeus_subscriber,n/a,raw,,n,y,end
y,umg.hal,resourceavailabilitynotification,n/a,SOAP,,umg_r2_subscriber,n/a,raw,,n,y,end
y,umg.hal,resourceavailabilitynotification,n/a,SOAP,,umg_digs_rav_subscriber,resourceavailablenotificationmapper_v2tov3_halindmatoaspenhercules,raw,,n,y,end
y,umg.hal,resourceavailabilitynotification,n/a,SOAP,,umg_resourcepreviewer_tulsa_subscriber1,n/a,raw,,n,y,end
y,umg.hal,resourceavailabilitynotification,n/a,SOAP,,umg_resourcepreviewer_tulsa_subscriber2,n/a,raw,,n,y,end
y,umg.hal,resourceavailabilitynotification,n/a,SOAP,,umg_d2_subscriber,n/a,raw,,n,y,end
y,umg.hal,resourceavailabilitynotification,n/a,SOAP,,umg_digs_rav_subscriber_qa,resourceavailablenotificationmapper_v2tov3_halindmatoaspenhercules,raw,,n,y,end
y,umg.mediaportal,panddmarketingterms,ohi_umg.mediaportal_panddmarketingterms_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.mediaportal_panddmarketingterms_1_detail/19570825,umg_digs_pandd_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.mediaportal,panddmarketingterms,ohi_umg.mediaportal_panddmarketingterms_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.mediaportal_panddmarketingterms_1_detail/19570825,umg_d2_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.mediaportal,panddreleaseschedule,ohi_umg.mediaportal_panddreleaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.mediaportal_panddreleaseschedule_1_detail/19570825,umg_digs_pandd_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.mediaportal,panddreleaseschedule,ohi_umg.mediaportal_panddreleaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.mediaportal_panddreleaseschedule_1_detail/19570825,umg_digs_pandd_subscriber_qa,n/a,pubsubwrapped,,n,y,end
y,umg.mediaportal,panddmarketingterms,ohi_umg.mediaportal_panddmarketingterms_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.mediaportal_panddmarketingterms_1_detail/19570825,umg_digs_pandd_subscriber_qa,n/a,pubsubwrapped,,n,y,end
y,umg.milestone,usphysicalreleaseschedulereferencedata,ohi_umg.milestone_usphysicalreleaseschedulereferencedata_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.milestone_usphysicalreleaseschedulereferencedata_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.milestone,usphysicalreleaseschedule,ohi_umg.milestone_usphysicalreleaseschedule_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.milestone_usphysicalreleaseschedule_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.mobile.proxy,resourceavailabilitynotification,n/a,SOAP,,umg_zeus_subscriber,resourceavailablenotificationmapper,raw,,n,y,end
y,umg.mobile.proxy,resourceavailabilitynotification,n/a,SOAP,,umg_r2_subscriber,resourceavailablenotificationmapper,raw,,n,y,end
